"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.650922452E1,2.579462767E0,-1.225125194E0,8.599804878E0,9.061523263E0
2.651160010E1,-2.105684042E0,4.307080805E-2,9.207581520E0,9.445386060E0
2.651397572E1,1.976471543E0,-2.067398787E0,1.149033451E1,1.184096131E1
2.651635135E1,-2.105683982E-1,9.571290761E-2,6.790830612E0,6.794768606E0
2.651872697E1,-8.422735929E-1,-1.488335729E0,1.326102352E1,1.337083815E1
2.652110260E1,1.842473388E0,-4.737788737E-1,6.833901405E0,7.093756623E0
2.652347817E1,-1.837687731E0,-9.954141974E-1,1.262453270E1,1.279635774E1
2.652585380E1,2.751745939E0,-1.081555843E0,8.934800148E0,9.411297596E0
2.652822942E1,-2.277967215E0,-9.092725813E-2,9.432506561E0,9.704101320E0
2.653060505E1,1.871187329E0,-1.861616015E0,1.119841003E1,1.150527459E1
2.653298062E1,-3.445664644E-1,-1.148554832E-1,6.666403770E0,6.676290666E0
2.653535624E1,-2.536391914E-1,-1.531406522E0,1.330409431E1,1.339434449E1
2.653773187E1,1.756331801E0,-5.216353536E-1,6.168696880E0,6.435031161E0
2.654010749E1,-2.273181438E0,-8.614161611E-1,1.290688515E1,1.313381422E1
2.654248307E1,2.775674343E0,-1.105484009E0,8.580661774E0,9.085935253E0
2.654485869E1,-2.206182480E0,-1.627119333E-1,1.030827999E1,1.054297646E1
2.654723432E1,2.076970100E0,-1.875972986E0,1.120319557E1,1.154749629E1
2.654960994E1,-9.332008362E-1,9.571290575E-3,7.058826923E0,7.120252309E0
2.655198552E1,-8.135596663E-2,-1.603191137E0,1.296909904E1,1.306806683E1
2.655436114E1,1.775474429E0,-5.407779217E-1,6.001199245E0,6.281651263E0
2.655673676E1,-2.019542217E0,-1.038485050E0,1.305524063E1,1.325127578E1
2.655911239E1,2.766103029E0,-9.188438654E-1,8.001599312E0,8.515937504E0
2.656148796E1,-2.622533560E0,-1.579262912E-1,1.062413216E1,1.094416772E1
2.656386359E1,2.325823545E0,-1.871187329E0,1.134676456E1,1.173285401E1
2.656623921E1,-1.043270707E0,-2.057827413E-1,7.628318787E0,7.702078149E0
2.656861484E1,1.435693540E-2,-1.507478237E0,1.293559933E1,1.302314965E1
2.657099041E1,1.162911773E0,-5.024927258E-1,5.876772404E0,6.011764850E0
2.657336604E1,-1.598405480E0,-1.229910851E0,1.295474148E1,1.311079355E1
2.657574166E1,2.914458036E0,-9.236295223E-1,7.604390144E0,8.195968924E0
2.657811729E1,-2.598605394E0,-5.742774159E-2,1.086820030E1,1.117469578E1
2.658049286E1,2.364108801E0,-1.780260086E0,1.053320503E1,1.094105775E1
2.658286848E1,-1.301695466E0,-1.531406492E-1,8.240880966E0,8.344458176E0
2.658524411E1,4.498506486E-1,-1.564906001E0,1.322273827E1,1.332261625E1
2.658761973E1,8.805587292E-1,-4.737788737E-1,6.288337708E0,6.367341770E0
2.658999536E1,-1.670190215E0,-1.119840980E0,1.275853062E1,1.291602426E1
2.659237093E1,2.718246460E0,-9.236295223E-1,7.298109055E0,7.842470981E0
2.659474656E1,-1.990828395E0,-9.092725813E-2,1.114576817E1,1.132253565E1
2.659712218E1,2.627319336E0,-1.832902193E0,9.805787086E0,1.031580330E1
2.659949781E1,-1.636690736E0,3.014956415E-1,8.480163574E0,8.641922843E0
2.660187338E1,4.785645306E-1,-1.770688772E0,1.289731407E1,1.302708997E1
2.660424900E1,9.284151793E-1,-3.349951804E-1,6.819544315E0,6.890599479E0
2.660662463E1,-1.344766378E0,-1.239482164E0,1.306002617E1,1.318745602E1
2.660900020E1,2.464607239E0,-7.800601721E-1,7.360322475E0,7.801097978E0
2.661137583E1,-2.000399828E0,-2.201396823E-1,1.108833981E1,1.126948715E1
2.661375145E1,2.842673302E0,-1.813759565E0,9.461220741E0,1.004416314E1
2.661612708E1,-1.469193101E0,3.062812984E-1,8.484949112E0,8.616652368E0
2.661850270E1,7.226324677E-1,-1.794616938E0,1.266281700E1,1.280975340E1
2.662087828E1,5.024927258E-1,-1.770688742E-1,6.685546398E0,6.706741606E0
2.662325390E1,-1.253839016E0,-1.406979680E0,1.329452229E1,1.342743560E1
2.662562952E1,2.512463808E0,-7.896314859E-1,7.843672752E0,8.274007162E0
2.662800515E1,-2.100898266E0,-4.211367965E-1,1.137547874E1,1.157551927E1
2.663038072E1,2.636890650E0,-1.588834286E0,9.360722542E0,9.853969413E0
2.663275635E1,-1.593619823E0,-1.914258115E-2,8.456234932E0,8.605108936E0
2.663513197E1,1.196411371E0,-1.904686809E0,1.259581852E1,1.279507234E1
2.663750760E1,3.684946895E-1,-1.100698411E-1,6.345765591E0,6.357408642E0
2.663988317E1,-1.502692580E0,-1.402194023E0,1.345244884E1,1.360854926E1
2.664225880E1,2.321038008E0,-7.944171429E-1,7.609176159E0,7.994865718E0
2.664463442E1,-2.033899307E0,-6.556333899E-1,1.209811115E1,1.228539356E1
2.664701005E1,2.579462767E0,-1.550549030E0,9.537791252E0,1.000136453E1
2.664938562E1,-2.096112728E0,-2.392822690E-2,8.752944946E0,9.000461453E0
2.665176124E1,1.229910851E0,-2.033899307E0,1.211246777E1,1.234347206E1
2.665413687E1,2.823530734E-1,-2.488535494E-1,6.360122681E0,6.371248846E0
2.665651249E1,-1.220339537E0,-1.569691658E0,1.342852020E1,1.357491493E1
2.665888812E1,2.177468538E0,-6.364908218E-1,7.030112743E0,7.387081628E0
2.666126369E1,-2.531606436E0,-7.992027402E-1,1.231346512E1,1.259639549E1
2.666363932E1,2.617748022E0,-1.459621787E0,9.643074989E0,1.009811842E1
2.666601494E1,-2.206182480E0,-2.536391914E-1,9.346364975E0,9.606566099E0
2.666839052E1,1.277767301E0,-1.966900229E0,1.214596748E1,1.237036426E1
2.667076614E1,-3.876372576E-1,-2.632105052E-1,6.374479294E0,6.391676516E0
2.667314176E1,-9.427721500E-1,-1.636690736E0,1.321795273E1,1.335222267E1
2.667551739E1,2.196611166E0,-7.130611539E-1,6.594619274E0,6.987314233E0
2.667789302E1,-2.493321180E0,-7.417750359E-1,1.255753326E1,1.282413827E1
2.668026859E1,2.469393015E0,-1.287338614E0,8.853444099E0,9.281089106E0
2.668264421E1,-2.464607239E0,-2.297109663E-1,9.920642853E0,1.022478413E1
